Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
15-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.5379,1.6578 ,0,114.8193359,26.51855469,223.328125,0.8933125
15-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,41.60839844,7.172851563,95.66113281,0.341646903
15-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,5.7707,1.9155 ,0.000091,165.7597656,38.9765625,341.1552734,0.974729353
15-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0,116.8984375,22.88867188,233.7988281,0.69790695
15-Nov-18,NKKND01,Mymensingh,Kendua,200,4.716,1.1030 ,0.00005,47.63476563,8.4609375,85.53222656,0.427661133
15-Nov-18,NKMDN01,Mymensingh,Madan,230,6.6189,1.5867 ,0,11.37011719,2.59375,26.20996094,0.113956352
15-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.1439,1.6976 ,0.000074,113.7285156,21.43457031,233.7998047,0.599486679
15-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0.0004,30.22949219,6.640625,85.6875,0.372554348
15-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,1 ,0.0004,75.10742188,12.80957031,154.9902344,0.596116286
15-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,4,2 ,0.0004,22.94238281,3.696289063,59.09179688,0.590917969
16-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,63.71875,25.53222656,126.8632813,0.551579484
16-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,1 ,0,80.77929688,21.57128906,144.2988281,0.554995493
16-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0.0004,85.18359375,18.61425781,148.7138672,0.33047526
16-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,71.77734375,15.08691406,142.3466797,0.618898607
16-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,98.25683594,20.546875,181.1279297,0.724511719
16-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0,64.28417969,12.32128906,126.6347656,0.575612571
16-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,2 ,0,73.27636719,14.078125,172.8183594,0.664685998
16-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,1 ,0,80.35449219,20.77832031,153.8515625,0.699325284
16-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,149.9033203,31.49804688,256.6513672,0.733289621
16-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,0,0,0,0,0,240.2373047,0.727991832
16-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,0,0,0,0,0,214.1992188,0.856796875
16-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0.0004,38.66113281,7.725585938,83.5390625,0.298353795
16-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,0,0,0,0,0,324.8134766,0.928038504
16-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0,116.1699219,24.38964844,224.7734375,0.670965485
16-Nov-18,NKKND01,Mymensingh,Kendua,200,0,0,0,0,0,79.30078125,0.396503906
16-Nov-18,NKMDN01,Mymensingh,Madan,230,0,0,0,0,0,32.88085938,0.142960258
