Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
21-Nov-18,KHRPS01,Khulna,Rupsha,150,11.6835,8.9907 ,0.0004,106.4296875,22.96875,204.0488281,1.360325521
21-Nov-18,MAMDP01,Khulna,Mohammadpur land 55m,185,6,1 ,0.0004,46.51171875,9.514648438,97.47851563,0.526910895
21-Nov-18,MASDR07,Khulna,Dhonpara Bazar_32m  Land,600,6.5338,1.0082 ,0,99.93164063,20.20800781,240.4707031,0.400784505
21-Nov-18,NRSDR06,Khulna,Tularampur 32m,225,8,1 ,0.0004,22.625,4.86328125,50.9453125,0.226423611
21-Nov-18,NRSDR10,Khulna,Ramchandrapur 32m land,175,7,1 ,0.0004,26.43847656,5.795898438,58.54785156,0.334559152
21-Nov-18,SKASN02,Khulna,Assasuni_land_75m,375,10,2 ,0,145.9130859,28.72558594,290.2558594,0.774015625
22-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,9.4884,1.4131 ,0,169.6865234,34.91210938,312.7763672,1.251105469
22-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,8.37,1.9681 ,0.000096,64.8203125,64.41894531,122.3505859,0.543780382
22-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,7,2 ,0,52.31445313,9.502929688,109.8662109,0.499391868
22-Nov-18,GGSDR02,Khulna,Gopalganj Bkb,450,8.8972,1.8122 ,0.000266,5.177734375,0.91015625,10.78027344,0.023956163
22-Nov-18,JHHRK01,Khulna,"Kulbaria land, Horinaku",175,8,2 ,0,40.59179688,8.98046875,87.27734375,0.498727679
22-Nov-18,JHKLG05,Khulna,Khorar Bazar 32m Land,400,9,1 ,0.0004,104.2226563,23.47265625,219.8945313,0.549736328
22-Nov-18,JSCGH03,Khulna,Porapara Bazar,260,10.0463,1.7218 ,0.000035,57.81738281,13.0390625,131.328125,0.505108173
22-Nov-18,JSKSB05,Khulna,Sagordari 32m land,350,10.5735,1.8085 ,0.000072,148.4599609,28.81542969,282.1240234,0.806068638
22-Nov-18,JSSDR10,Khulna,Bashundia bazar land 55,275,9,2 ,0,168.9667969,36.66113281,342.3457031,1.244893466
22-Nov-18,JSSDRT1,Khulna,Jessore,250,11.1103,10.2535 ,0,109.9091797,22.21386719,225.7480469,0.902992188
22-Nov-18,KHDMR06,Khulna,Shahapur Land,275,8.853,1.7641 ,0.000035,49.48046875,9.981445313,109.6923828,0.398881392
22-Nov-18,KHPKG01,Khulna,Kapilmuni land 55m,175,11,2 ,0,133.1650391,26.79589844,52.29492188,0.298828125
22-Nov-18,KHRPS01,Khulna,Rupsha,150,11.1112,9.8946 ,0,107.546875,23.109375,236.3916016,1.57594401
22-Nov-18,MAMDP01,Khulna,Mohammadpur land 55m,185,7,1 ,0.0004,56.20703125,8.259765625,101.4248047,0.548242188
22-Nov-18,MASDR07,Khulna,Dhonpara Bazar_32m  Land,600,6.9308,1.1507 ,0.000036,97.97363281,20.33984375,229.4658203,0.382443034
22-Nov-18,NRSDR06,Khulna,Tularampur 32m,225,8,1 ,0.0004,21.0703125,4.935546875,57.04199219,0.253519965
22-Nov-18,NRSDR10,Khulna,Ramchandrapur 32m land,175,7,1 ,0.0004,27.45410156,5.608398438,61.07714844,0.349012277
22-Nov-18,SKASN02,Khulna,Assasuni_land_75m,375,10,2 ,0.0004,148.7294922,29.43652344,284.2978516,0.758127604
23-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,8.9968,1.8632 ,0.00041,159.4355469,33.93261719,302.5742188,1.210296875
23-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,6.8693,1.7757 ,0.000285,66.62304688,66.46582031,126.0205078,0.560091146
23-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,6,2 ,0,53.76855469,13.6796875,107.9501953,0.490682706
23-Nov-18,GGSDR02,Khulna,Gopalganj Bkb,450,7.4461,1.5144 ,0.000076,4.307617188,0.795898438,8.220703125,0.018268229
23-Nov-18,JHHRK01,Khulna,"Kulbaria land, Horinaku",175,7,2 ,0.0004,41.66601563,9.284179688,99.01367188,0.565792411
23-Nov-18,JHKLG05,Khulna,Khorar Bazar 32m Land,400,7,1 ,0.0004,109.6347656,25.72558594,220.1083984,0.550270996
23-Nov-18,JSCGH03,Khulna,Porapara Bazar,260,8.8416,1.9351 ,0.001148,57.6171875,13.10058594,141.6494141,0.544805439
23-Nov-18,JSKSB05,Khulna,Sagordari 32m land,350,9.6349,1.7649 ,0.000522,156.7822266,31.19433594,303.7128906,0.867751116
23-Nov-18,JSSDR10,Khulna,Bashundia bazar land 55,275,9,2 ,0.0004,170.2871094,36.30273438,326.8525391,1.188554688
23-Nov-18,JSSDRT1,Khulna,Jessore,250,9.5441,10.4379 ,0.0004,114.8466797,23.20996094,227.1318359,0.908527344
23-Nov-18,KHDMR06,Khulna,Shahapur Land,275,8.2232,1.5603 ,0.000476,54.81933594,10.14941406,122.5605469,0.445674716
23-Nov-18,KHPKG01,Khulna,Kapilmuni land 55m,175,10,2 ,0.0004,137.0644531,26.67480469,52.88378906,0.30219308
23-Nov-18,KHRPS01,Khulna,Rupsha,150,10.2006,10.1005 ,0.0004,111.7568359,24.65332031,209.8154297,1.398769531
23-Nov-18,MAMDP01,Khulna,Mohammadpur land 55m,185,5,1 ,0.0004,51.23144531,11.47753906,102.6826172,0.555041174
23-Nov-18,MASDR07,Khulna,Dhonpara Bazar_32m  Land,600,5.1102,1.1652 ,0,107.6425781,21.12988281,225.8701172,0.376450195
23-Nov-18,NRSDR06,Khulna,Tularampur 32m,225,7,1 ,0.0004,23.92089844,4.801757813,50.36230469,0.223832465
23-Nov-18,NRSDR10,Khulna,Ramchandrapur 32m land,175,7,1 ,0.0004,31.35253906,6.404296875,66.34472656,0.379112723
23-Nov-18,SKASN02,Khulna,Assasuni_land_75m,375,9,1 ,0.0004,154.3427734,30.48828125,299.8027344,0.799473958
24-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,9.3756,1.8575 ,0.007671,154.71875,32.3515625,314.8779297,1.259511719
24-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,8.4545,1.7619 ,0,63.73242188,63.72851563,116.6328125,0.518368056
24-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,7,2 ,0,52.1171875,11.03320313,101.4199219,0.460999645
24-Nov-18,GGSDR02,Khulna,Gopalganj Bkb,450,9.0403,1.7875 ,0,4.391601563,0.854492188,8.299804688,0.01844401
24-Nov-18,JHHRK01,Khulna,"Kulbaria land, Horinaku",175,8,2 ,0,39.4921875,8.762695313,93.24707031,0.532840402
24-Nov-18,JHKLG05,Khulna,Khorar Bazar 32m Land,400,8,1 ,0.0004,105.9365234,23.84179688,214.5078125,0.536269531
