Date,Open,High,Low,Close
12/5/2016,2772.838303,2951.440957,2755.90843,2945.892708
12/6/2016,2757.734115,2796.054816,2728.170023,2773.207132
12/7/2016,2748.649711,2797.972385,2672.106668,2756.876994
12/8/2016,2664.685565,2757.477348,2564.081459,2746.380053
12/9/2016,2534.031309,2676.392864,2485.375025,2662.865246
12/10/2016,2319.478089,2536.337402,2308.315165,2534.481799
12/11/2016,2214.413837,2354.086565,2172.515147,2316.059659
12/12/2016,2367.199239,2367.740985,2163.693187,2211.625808
1/1/2017,2401.256246,2439.537062,2117.039663,2363.586201
1/2/2017,2357.871071,2641.094877,2315.960166,2403.535241
1/3/2017,2331.160072,2467.200717,2238.366851,2364.751822
1/4/2017,2161.939461,2345.835041,2060.143795,2330.210937
1/5/2017,2238.032769,2276.776896,2086.688619,2166.188766
1/6/2017,2346.452348,2365.46046,2011.766802,2237.137028
1/7/2017,2429.980932,2497.385172,2333.682808,2344.894981
1/8/2017,2516.601758,2547.555592,2318.675008,2431.946504
1/9/2017,2436.034621,2544.267391,2409.924083,2519.1161
1/10/2017,2299.347856,2449.68761,2284.56378,2435.105019
1/11/2017,2139.364229,2318.423239,2138.559516,2299.187786
1/12/2017,2157.361728,2199.718673,2110.368968,2139.353196
2/1/2017,2136.156983,2165.1915,2119.865673,2157.657037
2/2/2017,2071.11156,2196.996253,2062.787516,2135.942201
2/3/2017,2088.772299,2102.873732,2055.163357,2072.108876
2/4/2017,1969.133209,2091.516392,1959.079475,2088.573651
2/5/2017,2117.728551,2133.187517,1945.442126,1971.077255
2/6/2017,2109.493091,2151.223362,2057.609098,2118.378959
2/7/2017,2093.260687,2140.985251,2032.387665,2107.887097
2/8/2017,2027.671312,2110.353413,2007.111874,2093.122853
2/9/2017,2142.895937,2144.962413,2028.422439,2028.422439
2/10/2017,1976.932778,2152.45195,1960.678755,2143.225632
2/11/2017,1919.157284,1989.055049,1912.178408,1977.276888
2/12/2017,1846.098274,1947.837753,1793.002229,1918.362061
3/1/2017,1819.466309,1860.97473,1793.922331,1846.033698
3/2/2017,1691.263189,1837.188026,1683.716602,1819.684963
3/3/2017,1716.405661,1728.584146,1672.660382,1691.355965
3/4/2017,1703.03611,1732.824369,1674.319368,1716.494612
3/5/2017,1595.210046,1702.922842,1594.736708,1702.84202
3/6/2017,1593.12326,1625.911554,1560.370463,1595.359192
3/7/2017,1678.002539,1740.4282,1570.788001,1593.413457
3/8/2017,1690.87187,1725.108807,1662.539889,1678.650138
3/9/2017,1788.362178,1811.968255,1674.299766,1691.334018
3/10/2017,1812.606536,1823.35305,1764.139246,1788.217009
3/11/2017,1817.522731,1874.708997,1811.728696,1812.634601
3/12/2017,1782.568668,1841.196074,1746.473355,1817.624092
4/1/2017,1823.158397,1848.646058,1705.716066,1782.855124
4/2/2017,1807.056208,1839.818997,1749.179973,1823.44938
4/3/2017,1792.413761,1817.060158,1720.053208,1806.971763
4/4/2017,1854.086669,1889.196628,1749.60627,1791.702302
4/5/2017,1923.863742,1930.779793,1845.11994,1854.564378
4/6/2017,1772.166392,1937.645533,1733.639899,1924.68544
4/7/2017,1826.546713,1839.497276,1728.980936,1772.102478
4/8/2017,1798.03394,1843.818833,1734.617125,1826.194987
4/9/2017,1868.488992,1873.803262,1766.490473,1799.166224
4/10/2017,1835.148026,1868.048781,1804.266415,1868.048781
4/11/2017,1724.229241,1835.192133,1670.941973,1834.727886
4/12/2017,1655.392396,1730.92418,1636.564436,1723.153796
5/1/2017,1532.372807,1669.106561,1519.141073,1654.741517
5/2/2017,1541.541736,1547.878164,1450.891362,1533.274976
5/3/2017,1574.62376,1622.953854,1511.103433,1541.914286
5/4/2017,1491.451205,1650.360552,1481.905778,1575.853125
5/5/2017,1564.063421,1597.610108,1461.32548,1492.608814
5/6/2017,1417.151143,1567.694556,1416.416185,1564.707647
5/7/2017,1459.860435,1468.39151,1300.472117,1416.048906
5/8/2017,1446.929455,1524.932428,1433.786929,1459.973121
5/9/2017,1478.65327,1559.028891,1407.979253,1446.03365
5/10/2017,1625.393882,1670.224062,1465.058946,1475.703735
5/11/2017,1571.476497,1710.983795,1511.018963,1626.575705
5/12/2017,1781.409018,1781.409018,1378.840907,1570.203925
6/1/2017,1935.557854,1936.453782,1580.626553,1781.992976
6/2/2017,1918.67315,1974.259588,1890.368116,1935.60106
6/3/2017,1959.902977,2036.286493,1830.531535,1919.534003
6/4/2017,1938.859881,1969.547055,1896.684508,1960.164744
6/5/2017,1848.206282,1949.903392,1848.206282,1937.449256
6/6/2017,1781.350092,1853.667543,1736.705823,1848.458273
6/7/2017,1778.945606,1824.518638,1729.641926,1781.067477
6/8/2017,1804.67678,1833.830572,1683.906655,1779.790978
6/9/2017,1814.372313,1848.154059,1789.914207,1805.084047
6/10/2017,1843.98676,1871.603547,1770.612086,1814.109853
6/11/2017,1783.489171,1861.356914,1744.168998,1843.532588
6/12/2017,1743.714187,1806.53903,1708.67926,1783.79795
7/1/2017,1768.039748,1826.696723,1686.542418,1744.243432
