Date,Open,High,Low,Close,Adj Close,Volume
2/18/2021,94.72,94.88,92.08,93.04,92.83,6106825.00
2/19/2021,93.76,96.24,93.44,96.16,95.94,7631125.00
2/22/2021,96.56,101.60,96.24,100.00,99.77,12079538.00
2/23/2021,100.80,101.20,97.44,100.72,100.49,9005313.00
2/24/2021,102.40,106.80,101.20,104.96,104.72,13348875.00
2/25/2021,104.80,106.16,101.28,102.08,101.85,11542163.00
2/26/2021,101.44,102.72,99.28,100.32,100.09,11091225.00
3/1/2021,103.36,106.32,102.32,104.88,104.64,9754700.00
3/2/2021,105.20,106.00,103.76,103.84,103.60,9650675.00
3/3/2021,104.72,108.96,104.40,107.52,107.28,14696538.00
3/4/2021,111.04,113.04,105.44,108.56,108.31,20820213.00
3/5/2021,110.40,110.48,105.12,108.80,108.63,13121938.00
3/8/2021,113.68,114.72,110.48,113.36,113.19,17964700.00
3/9/2021,112.80,115.36,110.64,112.00,111.83,14308463.00
3/10/2021,109.20,109.92,103.36,106.00,105.84,27528800.00
3/11/2021,101.52,102.88,95.60,98.16,98.01,38225663.00
3/12/2021,97.92,100.96,97.84,100.64,100.49,16818988.00
3/15/2021,101.92,106.88,101.84,106.80,106.64,13925313.00
3/16/2021,106.64,106.80,104.56,105.20,105.04,9307025.00
3/17/2021,105.60,108.88,105.04,108.88,108.71,9903388.00
3/18/2021,108.72,109.52,105.52,106.00,105.84,7970138.00
3/19/2021,105.60,106.80,103.84,105.76,105.60,8559000.00
3/22/2021,105.28,105.92,103.44,105.04,104.88,6598638.00
3/23/2021,103.68,105.44,100.40,101.28,101.12,8206888.00
3/24/2021,102.08,104.16,100.00,100.00,99.85,7759188.00
3/25/2021,99.20,103.44,97.84,102.80,102.64,9173988.00
3/26/2021,103.60,105.04,101.68,103.92,103.76,7565588.00
3/29/2021,103.36,104.40,102.24,103.60,103.44,6720363.00
3/30/2021,103.84,106.88,103.20,106.40,106.24,6615638.00
3/31/2021,107.04,107.44,105.04,105.04,104.88,7823250.00
4/1/2021,105.84,106.88,105.20,106.24,106.08,7397975.00
4/5/2021,107.76,108.56,106.96,107.68,107.51,6342363.00
4/6/2021,107.68,108.00,106.96,107.20,107.04,5006525.00
4/7/2021,107.20,108.24,106.08,107.12,106.96,5220675.00
4/8/2021,106.08,108.00,104.72,107.60,107.43,6864875.00
4/9/2021,108.00,110.64,107.36,108.80,108.63,7905750.00
4/12/2021,108.88,109.44,107.76,108.72,108.55,5259625.00
4/13/2021,108.08,108.32,106.08,107.52,107.35,6402975.00
4/14/2021,107.44,110.32,107.36,109.44,109.27,8079875.00
4/15/2021,109.84,110.00,107.52,108.40,108.23,6360225.00
4/16/2021,109.04,109.44,106.80,107.12,106.96,6253050.00
4/19/2021,106.56,107.76,105.36,107.68,107.51,5609475.00
4/20/2021,107.28,107.28,103.20,104.48,104.32,7682088.00
4/21/2021,103.44,107.04,102.16,106.80,106.64,6201013.00
4/22/2021,106.80,109.44,106.24,107.28,107.12,6575975.00
4/23/2021,108.00,108.88,106.88,108.40,108.23,5829763.00
4/26/2021,109.04,112.00,108.40,108.56,108.39,11722363.00
4/27/2021,108.00,108.32,103.28,107.92,107.75,18721875.00
4/28/2021,106.64,106.80,105.20,105.60,105.44,8261925.00
4/29/2021,105.44,106.32,104.64,105.68,105.52,6894700.00
4/30/2021,105.28,106.80,104.64,104.96,104.80,6237438.00
5/3/2021,105.92,108.24,105.36,107.60,107.43,7934063.00
5/4/2021,106.72,107.12,104.56,104.96,104.80,9692275.00
5/5/2021,105.28,106.32,104.72,105.68,105.52,6958038.00
5/6/2021,105.76,106.48,104.24,105.68,105.52,7847150.00
5/7/2021,105.28,106.72,104.56,106.40,106.24,6735088.00
5/10/2021,106.48,108.64,106.40,106.80,106.64,8195250.00
5/11/2021,105.52,106.32,103.52,104.72,104.56,8501525.00
5/12/2021,104.64,105.04,102.16,102.56,102.40,8856213.00
5/13/2021,102.40,104.32,101.76,103.76,103.60,8197850.00
5/14/2021,104.96,106.40,104.24,106.08,105.92,6334675.00
5/17/2021,105.84,106.72,104.96,105.20,105.04,9542238.00
5/18/2021,105.44,106.16,103.76,103.76,103.60,6115788.00
5/19/2021,103.20,104.80,102.32,104.72,104.56,7427025.00
5/20/2021,104.72,104.88,103.36,104.48,104.32,5809338.00
5/21/2021,104.88,106.24,104.40,105.84,105.68,6665013.00
5/24/2021,106.32,106.48,104.96,105.44,105.28,4876600.00
5/25/2021,105.60,106.32,104.80,104.96,104.80,5916213.00
