Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
2020-07-16,smartx-microbox-gist1,924,63.9,53.2,29.5,56.2,78.5
2020-07-17,smartx-microbox-gist1,896,72.3,31.4,17.4,39,70.4
2020-07-18,smartx-microbox-gist1,928,43.7,49.2,18.3,61.9,77.2
2020-07-19,smartx-microbox-gist1,923,50.9,68.8,23,24.2,59
2020-07-20,smartx-microbox-gist1,938,72.2,36,15.6,56.1,56.8
2020-07-21,smartx-microbox-gist1,932,39.6,22.1,22.2,75.7,74.4
2020-07-22,smartx-microbox-gist1,927,50.4,19.7,7.56,46.7,108
2020-07-23,smartx-microbox-gist1,925,72.5,26,13.9,88.8,53.9
2020-07-24,smartx-microbox-gist1,933,48.9,28.2,12.1,35,39.7
2020-07-25,smartx-microbox-gist1,934,64.5,29.4,18.2,44.7,66.9
2020-07-26,smartx-microbox-gist1,938,38.1,47.3,22.9,57.3,108
2020-07-27,smartx-microbox-gist1,930,106,28.5,16.9,81,71.4
2020-07-28,smartx-microbox-gist1,938,65.9,40,16.1,47.5,27.5
2020-07-29,smartx-microbox-gist1,930,75,47,17.1,62.8,85.1
2020-07-30,smartx-microbox-gist1,932,60.1,37.5,16.3,123,92.7
2020-07-31,smartx-microbox-gist1,929,61.5,24.2,29.8,102,58.3
2020-08-01,smartx-microbox-gist1,933,76.5,31.7,30.8,48.6,65.2
2020-08-02,smartx-microbox-gist1,930,91,49.5,24.5,75.2,117
2020-08-03,smartx-microbox-gist1,929,40.2,48.8,24.8,40.9,95.2
2020-08-04,smartx-microbox-gist1,929,24.9,37.7,27.4,48.5,58.6
2020-08-05,smartx-microbox-gist1,926,45.2,28.3,18.6,30.6,78.1
2020-08-06,smartx-microbox-gist1,932,46.7,23.7,12.3,13.8,50.8
2020-08-07,smartx-microbox-gist1,936,112,41.7,23,66.8,53.1
2020-08-08,smartx-microbox-gist1,922,37,40.6,8.17,65.2,46.6
2020-08-09,smartx-microbox-gist1,921,7.39,4.71,9.12,5.82,4.34
2020-08-10,smartx-microbox-gist1,931,6.26,4.12,7.21,5.65,4.78
2020-08-11,smartx-microbox-gist1,934,3.56,5.4,2.52,3.56,3.56
2020-08-12,smartx-microbox-gist1,931,4.86,5.23,2.43,3.04,4.95
2020-08-13,smartx-microbox-gist1,934,4.78,4.11,4.69,3.56,2.78
2020-08-14,smartx-microbox-gist1,926,3.39,2.66,1.91,4.17,3.21
2020-08-15,smartx-microbox-gist1,936,5.3,3.77,5.13,4.34,3.91
2020-08-16,smartx-microbox-gist1,922,4.08,2.66,2.43,2.35,3.47
2020-08-17,smartx-microbox-gist1,935,4.87,2.31,2.61,4.08,4.69
2020-08-18,smartx-microbox-gist1,930,3.13,2.49,2,2.35,3.91
2020-08-19,smartx-microbox-gist1,939,2.35,3.69,1.82,2.69,2.87
2020-08-20,smartx-microbox-gist1,918,2.52,1.97,2.43,2.87,3.56
2020-08-21,smartx-microbox-gist1,922,2.35,2.49,2.09,2.52,2.26
2020-08-22,smartx-microbox-gist1,937,5.3,2.65,1.65,2.35,4.34
2020-08-23,smartx-microbox-gist1,933,3.73,3.17,3.48,2.43,3.74
2020-08-24,smartx-microbox-gist1,937,3.39,2.31,1.48,3.3,2.87
2020-08-25,smartx-microbox-gist1,937,2.95,1.6,2.61,3.21,3.21
2020-08-26,smartx-microbox-gist1,933,4.26,2.66,3.21,2.35,4.69
2020-08-27,smartx-microbox-gist1,926,3.13,1.37,2.26,2.87,2.78
2020-08-28,smartx-microbox-gist1,913,3.74,3,1.74,2.78,2.26
2020-08-29,smartx-microbox-gist1,932,2.09,1.8,2.35,2,2.95
2020-08-30,smartx-microbox-gist1,938,4.17,2.57,1.74,2.35,2.95
2020-08-31,smartx-microbox-gist1,932,6.08,2.83,2.17,4,2.52
2020-09-01,smartx-microbox-gist1,932,6.34,5.74,5.13,4.52,4.08
2020-09-02,smartx-microbox-gist1,921,3.82,2.64,4.69,5.99,4.17
2020-09-03,smartx-microbox-gist1,939,3.39,2.66,4.26,4,3.21
2020-09-04,smartx-microbox-gist1,909,3.13,3.17,4.43,3.04,4.17
2020-09-05,smartx-microbox-gist1,926,2.52,1.97,2.08,2,2.87
2020-09-06,smartx-microbox-gist1,921,2.61,2.97,1.48,3.04,2.95
2020-09-07,smartx-microbox-gist1,936,2.17,2.04,3.04,2.09,2.35
2020-09-08,smartx-microbox-gist1,931,4.69,3.6,2.87,3.21,2.95
2020-09-09,smartx-microbox-gist1,927,5.04,3.26,3.48,5.3,4.08
2020-09-10,smartx-microbox-gist1,934,5.65,3.26,4.34,3.39,4
2020-09-11,smartx-microbox-gist1,926,4.08,3.09,3.13,3.21,4.34
2020-09-12,smartx-microbox-gist1,933,5.04,4.97,2.52,3.04,5.47
2020-09-13,smartx-microbox-gist1,934,5.13,3.43,5.3,6.78,3.82
2020-09-14,smartx-microbox-gist1,930,9.12,3.34,2.17,3.48,4.87
2020-09-15,smartx-microbox-gist1,930,6.43,4.37,5.04,7.64,4.95
2020-09-16,smartx-microbox-gist1,919,6.95,2.4,4.26,3.74,3.82
2020-09-17,smartx-microbox-gist1,926,6.17,2.74,3.48,5.39,4.43
2020-09-18,smartx-microbox-gist1,937,7.39,3,3.74,4.6,4.78
2020-09-19,smartx-microbox-gist1,911,4,4.97,2.95,4.69,3.74
2020-09-20,smartx-microbox-gist1,925,5.99,5.14,2.87,5.65,5.04
2020-09-21,smartx-microbox-gist1,936,5.3,2.31,4.17,3.65,4.69
2020-09-22,smartx-microbox-gist1,936,3.13,4.54,3.3,4.78,5.47
2020-09-23,smartx-microbox-gist1,936,2.52,2.57,5.91,4.26,4.43
2020-09-24,smartx-microbox-gist1,937,5.21,1.97,4.26,5.21,2.35
2020-09-25,smartx-microbox-gist1,933,2.35,5.14,2.34,4,3.48
2020-09-26,smartx-microbox-gist1,932,4.78,2.91,2.17,3.3,3.39
2020-09-27,smartx-microbox-gist1,933,3.04,2.23,2.61,1.91,3.22
2020-09-28,smartx-microbox-gist1,925,3.39,4.46,2.61,2.69,3.3
2020-09-29,smartx-microbox-gist1,936,2.95,3.34,1.74,3.13,2.87
2020-09-30,smartx-microbox-gist1,933,3.56,3.51,2.61,2.52,3.48
2020-10-01,smartx-microbox-gist1,940,4.69,2.31,2.52,4.52,3.65
2020-10-02,smartx-microbox-gist1,936,3.47,2.23,2.08,3.04,3.04
2020-10-03,smartx-microbox-gist1,934,3.3,4.71,1.65,1.82,3.74
2020-10-04,smartx-microbox-gist1,935,2.26,2.4,2.87,3.74,2.95
2020-10-05,smartx-microbox-gist1,931,4.17,2.49,1.48,2.09,3.13
2020-10-06,smartx-microbox-gist1,921,3.04,3.09,2.26,3.13,3.39
2020-10-07,smartx-microbox-gist1,938,0,2.81,1.22,1.74,2.87
2020-10-08,smartx-microbox-gist1,939,2.17,3.17,2.52,2.43,1.56
2020-10-09,smartx-microbox-gist1,927,2.43,2.14,1.82,3.21,2.43
2020-10-10,smartx-microbox-gist1,930,1.3,2.49,1.56,2.26,1.3
2020-10-11,smartx-microbox-gist1,938,1.22,3.34,2.09,4.17,1.39
2020-10-12,smartx-microbox-gist1,932,1.39,1.97,2,2,521
2020-10-13,smartx-microbox-gist1,941,1.56,3.34,1.74,4.6,1.39
2020-10-14,smartx-microbox-gist1,942,1.82,0,1.82,1.74,1.74
2020-10-15,smartx-microbox-gist1,941,2.61,2.14,2.87,3.56,2.87
2020-10-16,smartx-microbox-gist1,941,3.04,3.6,3.13,2.78,2.69
2020-10-17,smartx-microbox-gist1,940,2,3.6,4.6,2.69,2.17
2020-10-18,smartx-microbox-gist1,941,5.82,3.17,3.48,3.04,956
2020-10-19,smartx-microbox-gist1,941,3.3,3.94,3.04,3.13,1.3
2020-10-20,smartx-microbox-gist1,917,2.69,3.26,2.69,2,3.56
2020-10-21,smartx-microbox-gist1,942,4.69,2.49,2.52,2.35,3.39
2020-10-22,smartx-microbox-gist1,941,2.61,3.17,1.91,4.08,4.6
2020-10-23,smartx-microbox-gist1,942,2.61,2.74,3.47,4,2
2020-10-24,smartx-microbox-gist1,941,2.17,2.07,2.35,2.61,2.95
