Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
1/28/2021,Visibility-Center-GIST,939,64.6,22.5,23.4,43.7,30.7
1/29/2021,Visibility-Center-GIST,942,27.4,36.2,9.82,84.9,50.4
1/30/2021,Visibility-Center-GIST,941,75.3,24.3,12.7,49.2,53.8
1/31/2021,Visibility-Center-GIST,941,51,36.1,19,43.7,36.1
2/1/2021,Visibility-Center-GIST,937,38.1,48.7,27.5,37.9,42.7
2/2/2021,Visibility-Center-GIST,941,53.4,60.8,29.8,67.4,68.4
2/3/2021,Visibility-Center-GIST,941,40.5,47.6,18.6,27.7,49.4
2/4/2021,Visibility-Center-GIST,941,56.5,41.9,27.5,36.5,67.1
2/5/2021,Visibility-Center-GIST,940,43.4,60.6,17.9,45.3,57.4
2/6/2021,Visibility-Center-GIST,942,58.6,63.7,22.1,71.8,78.2
2/7/2021,Visibility-Center-GIST,942,110,21.9,19.5,75.2,67.6
2/8/2021,Visibility-Center-GIST,942,70.5,33.4,26,62.6,52.1
2/9/2021,Visibility-Center-GIST,941,49.8,49.8,20.7,51.3,29.4
2/10/2021,Visibility-Center-GIST,941,60.4,30.3,24,59.7,81.3
